Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Maryland,24.23,5838991,1414788
2012,Maryland,26.06,5887072,1534171
2013,Maryland,25.24,5923704,1495143
2014,Maryland,28.93,5958165,1723697
2015,Maryland,28.37,5986717,1698432
2016,Maryland,29.09,6004692,1746765
2017,Maryland,28.54,6024891,1719504
2018,Maryland,31.57,6042718,1907686
