Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Montana,27.72,997221,276430
2012,Montana,30.13,1003754,302431
2013,Montana,34.13,1013564,345929
2014,Montana,32.15,1021891,328538
2015,Montana,28.58,1030503,294518
2016,Montana,29.02,1040863,302058
2017,Montana,32.85,1053090,345940
2018,Montana,30.55,1062305,324534
