Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Delaware,25.28,907316,229369
2012,Delaware,23.64,915188,216350
2013,Delaware,25.85,923638,238760
2014,Delaware,27.36,932596,255158
2015,Delaware,33.5,941413,315373
2016,Delaware,26.76,949216,254010
2017,Delaware,28.4,957078,271810
2018,Delaware,34.2,967171,330772
