Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Idaho,31.33,1583828,496213
2012,Idaho,31.88,1595441,508627
2013,Idaho,38.58,1611530,621728
2014,Idaho,33.7,1631479,549808
2015,Idaho,31.7,1651523,523533
2016,Idaho,36.13,1682930,608043
2017,Idaho,33.7,1718904,579271
2018,Idaho,30,1754208,526262
