Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Pennsylvania,27.4,12744583,3492016
2012,Pennsylvania,26.25,12766827,3351292
2013,Pennsylvania,27.18,12776621,3472686
2014,Pennsylvania,28.72,12789101,3673030
2015,Pennsylvania,30.54,12785759,3904771
2016,Pennsylvania,29.04,12783538,3712339
2017,Pennsylvania,30.22,12790447,3865273
2018,Pennsylvania,26.58,12807060,3404117
