Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Alabama,31.84,4798834,1527949
2012,Alabama,27.95,4815564,1345950
2013,Alabama,36.33,4830460,1754906
2014,Alabama,34.14,4842481,1653223
2015,Alabama,37.84,4853160,1836436
2016,Alabama,34.02,4864745,1654986
2017,Alabama,39.52,4875120,1926647
2018,Alabama,34.3,4887871,1676540
