Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Louisiana,32.58,4575184,1490595
2012,Louisiana,32.03,4600814,1473641
2013,Louisiana,32.73,4624577,1513624
2014,Louisiana,34.45,4644204,1599928
2015,Louisiana,33.6,4664851,1567390
2016,Louisiana,37.14,4678215,1737489
2017,Louisiana,39.06,4670818,1824422
2018,Louisiana,37.12,4659978,1729784
