Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Alaska,29.42,722038,212424
2012,Alaska,23.46,730399,171352
2013,Alaska,30.78,737045,226862
2014,Alaska,31.02,736307,228402
2015,Alaska,29.7,737547,219051
2016,Alaska,32.88,741504,243807
2017,Alaska,34.38,739786,254338
2018,Alaska,29.2,737438,215332
