Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Wisconsin,32.48,5704755,1852904
2012,Wisconsin,33.45,5719855,1913291
2013,Wisconsin,34.12,5736952,1957448
2014,Wisconsin,38.2,5751974,2197254
2015,Wisconsin,36.72,5761406,2115588
2016,Wisconsin,34.48,5772958,1990516
2017,Wisconsin,32.57,5792051,1886471
2018,Wisconsin,37.8,5813568,2197529
