Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Maine,26.42,1328150,350897
2012,Maine,30.23,1327691,401361
2013,Maine,29.05,1328196,385841
2014,Maine,28.2,1330760,375274
2015,Maine,27.48,1328484,365067
2016,Maine,34.55,1331370,459988
2017,Maine,32.83,1335063,438301
2018,Maine,32,1338404,428289
