Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Oregon,27.08,3871728,1048464
2012,Oregon,25.18,3899118,981798
2013,Oregon,25.1,3922908,984650
2014,Oregon,22.28,3964106,883203
2015,Oregon,28.1,4016918,1128754
2016,Oregon,25.68,4091404,1050673
2017,Oregon,29.17,4146592,1209561
2018,Oregon,31.28,4190713,1310855
