Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Ohio,27.7,11543463,3197539
2012,Ohio,27.54,11548369,3180421
2013,Ohio,29.44,11576576,3408144
2014,Ohio,31.81,11602973,3690906
2015,Ohio,31.28,11617850,3634063
2016,Ohio,36.73,11635003,4273537
2017,Ohio,31.4,11664129,3662537
2018,Ohio,28.98,11689442,3387600
