Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,New Jersey,22.81,8827783,2013617
2012,New Jersey,22.74,8845483,2011463
2013,New Jersey,28.8,8858362,2551208
2014,New Jersey,26.06,8866780,2310683
2015,New Jersey,27.47,8870869,2436828
2016,New Jersey,26.26,8874516,2330448
2017,New Jersey,29.13,8888543,2589233
2018,New Jersey,24.7,8908520,2200404
