Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,New York,25.68,19498514,5007218
2012,New York,24.78,19574549,4850573
2013,New York,23.98,19628043,4706805
2014,New York,25.14,19656330,4941601
2015,New York,25.8,19661411,5072644
2016,New York,25.46,19641589,5000749
2017,New York,23.9,19590719,4682182
2018,New York,28.46,19542209,5561713
