Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Massachusetts,26.37,6613149,1743887
2012,Massachusetts,23.87,6663158,1590496
2013,Massachusetts,25.76,6713944,1729512
2014,Massachusetts,24.49,6763652,1656418
2015,Massachusetts,25.48,6795891,1731593
2016,Massachusetts,24.08,6826022,1643706
2017,Massachusetts,26.76,6863246,1836605
2018,Massachusetts,26.67,6902149,1840803
