Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Virginia,27.64,8100469,2238970
2012,Virginia,26.83,8185229,2196097
2013,Virginia,26.16,8253053,2158999
2014,Virginia,27.52,8312076,2287483
2015,Virginia,27.62,8362907,2309835
2016,Virginia,32.02,8410946,2693185
2017,Virginia,26.62,8465207,2253438
2018,Virginia,29.52,8517685,2514421
