Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,North Dakota,35.87,685136,245758
2012,North Dakota,36.5,701116,255907
2013,North Dakota,33.63,721999,242808
2014,North Dakota,37.87,737382,279247
2015,North Dakota,37.47,754022,282532
2016,North Dakota,37.98,754353,286503
2017,North Dakota,37.48,755176,283040
2018,North Dakota,37.38,760077,284117
