Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Missouri,33.18,6009641,1993999
2012,Missouri,35.33,6024081,2128308
2013,Missouri,34.03,6040658,2055636
2014,Missouri,31.4,6056293,1901676
2015,Missouri,32.46,6071745,1970888
2016,Missouri,29.9,6087203,1820074
2017,Missouri,28.23,6108612,1724461
2018,Missouri,44.5,6126452,2726271
