Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Nevada,27.97,2712799,758770
2012,Nevada,25.7,2744566,705353
2013,Nevada,27.37,2776972,760057
2014,Nevada,27.73,2819012,781712
2015,Nevada,24,2868666,688480
2016,Nevada,25.84,2919772,754469
2017,Nevada,32.93,2972405,978813
2018,Nevada,27.94,3034392,847809
