Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,South Dakota,34.15,823484,281220
2012,South Dakota,29.25,833496,243798
2013,South Dakota,30.63,842270,257987
2014,South Dakota,37.4,849088,317559
2015,South Dakota,32.6,853933,278382
2016,South Dakota,32.38,862890,279404
2017,South Dakota,39.38,873286,343900
2018,South Dakota,36.48,882235,321839
