Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Utah,25.93,2814216,729726
2012,Utah,21.01,2853467,599513
2013,Utah,24.17,2897927,700429
2014,Utah,25.52,2937399,749624
2015,Utah,29.41,2982497,877152
2016,Utah,25.05,3042613,762175
2017,Utah,24.34,3103118,755299
2018,Utah,32.43,3161105,1025146
