Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Indiana,37.94,6516045,2472187
2012,Indiana,32.3,6537640,2111658
2013,Indiana,32.7,6568367,2147856
2014,Indiana,30.83,6593533,2032786
2015,Indiana,27.8,6608296,1837106
2016,Indiana,31.4,6633344,2082870
2017,Indiana,31.17,6660082,2075948
2018,Indiana,36.54,6691878,2445212
