Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Mississippi,33.47,2978470,996894
2012,Mississippi,28.7,2983767,856341
2013,Mississippi,36.3,2988797,1084933
2014,Mississippi,37.9,2990623,1133446
2015,Mississippi,37.35,2988693,1116277
2016,Mississippi,34.87,2988298,1042020
2017,Mississippi,37.6,2989663,1124113
2018,Mississippi,41,2986530,1224477
