Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Arkansas,26.64,2940407,783324
2012,Arkansas,38.9,2952109,1148370
2013,Arkansas,35.04,2959549,1037026
2014,Arkansas,42.72,2967726,1267813
2015,Arkansas,35.58,2978407,1059717
2016,Arkansas,34.38,2990410,1028103
2017,Arkansas,36.48,3002997,1095493
2018,Arkansas,39.94,3013825,1203722
