Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,New Mexico,20.96,2080395,436051
2012,New Mexico,25.06,2087549,523140
2013,New Mexico,25.14,2092792,526128
2014,New Mexico,30.29,2090342,633165
2015,New Mexico,31.58,2090211,660089
2016,New Mexico,31.26,2092789,654206
2017,New Mexico,29,2093395,607085
2018,New Mexico,32.34,2095428,677661
