Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Minnesota,28.1,5345668,1502133
2012,Minnesota,27.6,5376550,1483928
2013,Minnesota,26.81,5413693,1451411
2014,Minnesota,29.88,5451522,1628915
2015,Minnesota,25.83,5482503,1416131
2016,Minnesota,30.28,5523409,1672488
2017,Minnesota,31.85,5568155,1773457
2018,Minnesota,33.42,5611179,1875256
