Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Tennessee,30.28,6397410,1937136
2012,Tennessee,31.1,6451281,2006348
2013,Tennessee,36.7,6493432,2383090
2014,Tennessee,36.4,6540826,2380861
2015,Tennessee,35.5,6590808,2339737
2016,Tennessee,40.2,6645011,2671294
2017,Tennessee,33.04,6708794,2216586
2018,Tennessee,38.93,6770010,2635565
