Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,New Hampshire,25.1,1319815,331274
2012,New Hampshire,19.15,1323962,253539
2013,New Hampshire,24.6,1326408,326296
2014,New Hampshire,22.48,1333223,299709
2015,New Hampshire,20.95,1336294,279954
2016,New Hampshire,21.78,1342373,292369
2017,New Hampshire,24.13,1349767,325699
2018,New Hampshire,26.87,1356458,364480
