Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Connecticut,26.8,3588023,961590
2012,Connecticut,27.47,3594395,987380
2013,Connecticut,24.48,3594915,880035
2014,Connecticut,27.23,3594783,978859
2015,Connecticut,26.99,3587509,968269
2016,Connecticut,27.27,3578674,975904
2017,Connecticut,26.18,3573880,935642
2018,Connecticut,27.15,3572665,969979
