Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Hawaii,27.17,1379252,374743
2012,Hawaii,30.16,1394905,420703
2013,Hawaii,29.62,1408453,417184
2014,Hawaii,30.57,1414862,432523
2015,Hawaii,30.12,1422484,428452
2016,Hawaii,30.37,1428105,433715
2017,Hawaii,29.97,1424203,426834
2018,Hawaii,30.82,1420491,437795
