Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Oklahoma,30.37,3787821,1150361
2012,Oklahoma,30.9,3818600,1179947
2013,Oklahoma,31.88,3853205,1228402
2014,Oklahoma,30.52,3878367,1183678
2015,Oklahoma,36.42,3909831,1423960
2016,Oklahoma,32.08,3926769,1259707
2017,Oklahoma,34.18,3932640,1344176
2018,Oklahoma,31.1,3943079,1226298
