Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Kentucky,35.52,4369488,1552042.138
2012,Kentucky,32.92,4386381,1443996.625
2013,Kentucky,36,4404817,1585734.12
2014,Kentucky,30.74,4414483,1357012.074
2015,Kentucky,30.5,4425999,1349929.695
2016,Kentucky,32.4,4438229,1437986.196
2017,Kentucky,33.54,4453874,1493829.34
2018,Kentucky,32.6,4468402,1456699.052
