Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Michigan,31.37,9881521,3099833
2012,Michigan,31.35,9896930,3102688
2013,Michigan,29.27,9913349,2901637
2014,Michigan,30.17,9930589,2996059
2015,Michigan,30.67,9932573,3046320
2016,Michigan,32.07,9951890,3191571
2017,Michigan,31.27,9976447,3119635
2018,Michigan,30.61,9995915,3059750
