Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,South Carolina,29.66,4671422,1385544
2012,South Carolina,31.37,4717112,1479758
2013,South Carolina,30.83,4764153,1468788
2014,South Carolina,26.88,4823793,1296636
2015,South Carolina,27.58,4892253,1349283
2016,South Carolina,32.06,4958235,1589610
2017,South Carolina,34.1,5021219,1712236
2018,South Carolina,32.6,5084127,1657425
