Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Washington,29.1,6821655,1985102
2012,Washington,28.03,6892876,1932073
2013,Washington,29.36,6962906,2044309
2014,Washington,27.49,7052439,1938715
2015,Washington,25.64,7163543,1836732
2016,Washington,29.9,7294680,2181109
2017,Washington,29.2,7425432,2168226
2018,Washington,30.35,7535591,2287052
