Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Wyoming,27.15,567224,154001
2012,Wyoming,28.58,576270,164698
2013,Wyoming,30.2,582123,175801
2014,Wyoming,29.16,582548,169871
2015,Wyoming,34.63,585668,202817
2016,Wyoming,28.2,584290,164770
2017,Wyoming,31.93,578934,184854
2018,Wyoming,31.15,577737,179965
