Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Iowa,25.38,3066054,778165
2012,Iowa,31.1,3076097,956666
2013,Iowa,38.53,3093078,1191763
2014,Iowa,24.18,3109504,751878
2015,Iowa,32.3,3121460,1008232
2016,Iowa,27.33,3131785,855917
2017,Iowa,34.64,3143637,1088956
2018,Iowa,36.66,3156145,1157043
