Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Vermont,28.65,626979,179629
2012,Vermont,26.57,626063,166345
2013,Vermont,29.93,626212,187425
2014,Vermont,25.85,625218,161619
2015,Vermont,30.2,625197,188809
2016,Vermont,29.06,623644,181231
2017,Vermont,30.58,624525,190980
2018,Vermont,26.66,626299,166971
