Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Florida,23.93,19093352,4569039
2012,Florida,24.92,19326230,4816097
2013,Florida,26.39,19563166,5162720
2014,Florida,24.78,19860330,4921390
2015,Florida,22.12,20224249,4473604
2016,Florida,27.4,20629982,5652615
2017,Florida,27.84,20976812,5839944
2018,Florida,30.04,21299325,6398317
