Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,North Carolina,25.79,9656754,2490477
2012,North Carolina,29.66,9749123,2891590
2013,North Carolina,27.58,9843599,2714865
2014,North Carolina,28.73,9933944,2854022
2015,North Carolina,28.42,10033079,2851401
2016,North Carolina,30.67,10156679,3115053
2017,North Carolina,33.44,10270800,3434556
2018,North Carolina,40,10383620,4153448
