Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Texas,31.22,25646227,8006752
2012,Texas,26.02,26089620,6788519
2013,Texas,27.72,26489464,7342879
2014,Texas,30.1,26977142,8120120
2015,Texas,28.83,27486814,7924448
2016,Texas,28.3,27937492,7906310
2017,Texas,32.47,28322717,9196386
2018,Texas,31.89,28701845,9153018
