Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,California,25.84,37641823,9726647
2012,California,25.59,37960782,9714164
2013,California,28.15,38280824,10776052
2014,California,25.71,38625139,9930523
2015,California,24.47,38953142,9531834
2016,California,27.4,39209127,10743301
2017,California,28.11,39399349,11075157
2018,California,27.53,39557045,10890054
