Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Kansas,29.76,2869035,853825
2012,Kansas,30.35,2885361,875707
2013,Kansas,29.74,2893510,860530
2014,Kansas,30.97,2900896,898407
2015,Kansas,34.78,2909502,1011925
2016,Kansas,30.33,2911263,882986
2017,Kansas,31.15,2910689,906680
2018,Kansas,35.17,2911505,1023976
