Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Rhode Island,24.94,1053536,262752
2012,Rhode Island,20.7,1054601,218302
2013,Rhode Island,28.37,1055122,299338
2014,Rhode Island,24.65,1056017,260308
2015,Rhode Island,23.88,1056173,252214
2016,Rhode Island,24.6,1057063,260037
2017,Rhode Island,25.53,1056486,269721
2018,Rhode Island,28.22,1057315,298374
