Year,State,AvgObesity,PopulationTotal,PopulationObese
2011,Colorado,23.5,5121771,1203616
2012,Colorado,23.19,5193721,1204424
2013,Colorado,22.45,5270482,1183223
2014,Colorado,23.01,5351218,1231315
2015,Colorado,19.79,5452107,1078972
2016,Colorado,25.06,5540921,1388555
2017,Colorado,22.1,5615902,1241114
2018,Colorado,25.09,5695564,1429017
